page_ptr_id,date,body,main_image_id,featured,image_carousel,body_de,body_en,body_es,search_description_de,search_description_en,search_description_es,seo_title_de,seo_title_en,seo_title_es,slug_de,slug_en,slug_es,title_de,title_en,title_es,url_path_de,url_path_en,url_path_es,main_image_caption,main_image_caption_de,main_image_caption_en,main_image_caption_es,gefoerdert_durch_img_id,active,urls
123,2016-04-28,www.bam.de,852,f,[],www.bam.de,,,,,,,,,bundesanstalt-fur-materialforschung-und-prufung,,,"Bundesanstalt für Materialforschung und -prüfung",,,/home/bundesanstalt-fur-materialforschung-und-prufung/,,,,,,,,1,
1401,2016-07-05,PUC-SP,879,f,[],PUC-SP,,,,,,,,,universidade-catolica-de-sao-paulo,,,"Universidade Católica de São Paulo",,,/home/universidade-catolica-de-sao-paulo/,,,,,,,,1,"http://www.pucsp.br http://www.pucsp.br http://www.pucsp.br http://www.pucsp.br"
1397,2016-07-05,http://www5.usp.br,868,f,[],http://www5.usp.br,,,,,,,,,universidade-de-sao-paulo-usp,,,"Universidade de Sao Paulo (USP)",,,/home/universidade-de-sao-paulo-usp/,,,,,,,,1,"http://www5.usp.br http://www5.usp.br http://www5.usp.br http://www5.usp.br http://www5.usp.br http://www5.usp.br http://www5.usp.br http://www5.usp.br"
1403,2016-07-05,"Link zur Webseite",880,f,[],"Link zur Webseite",,,,,,,,,university-queensland,,,"The University of Queensland",,,/home/university-queensland/,,,,,,,,1,"http://www.uq.edu.au http://www.uq.edu.au http://www.uq.edu.au http://www.uq.edu.au"
1422,2016-07-06,,1099,f,[],,,,,,,,,,bard-graduate-center-new-york-ny,,,"Bard Graduate Center New York, NY.",,,/home/bard-graduate-center-new-york-ny/,,,,,,,,1,
692,2016-05-31,"www.iris-adlershof.de ",709,f,[],"www.iris-adlershof.de ",,,,,,,,,iris-adlershof,,,"Iris Adlershof",,,/home/iris-adlershof/,,,,,,,,1,
1421,2016-07-06,,1112,f,[],,,,,,,,,,graduiertenkolleg-das-fotografische-dispositiv-braunschweig,,,"Graduiertenkolleg »Das fotografische Dispositiv«, Braunschweig",,,/home/graduiertenkolleg-das-fotografische-dispositiv-braunschweig/,,,,,,,,1,
194,2016-05-09,,857,f,[],,,,,,,,,,kunstuniversitat-linz,,,"Kunstuniversität Linz",,,/home/kunstuniversitat-linz/,,,,,,,,1,
1423,2016-07-06,,1113,f,[],,,,,,,,,,graduiertenkolleg-sichtbarkeit-und-sichtbarmachung-hybride-formen-des-bildwissens,,,"Graduiertenkolleg »Sichtbarkeit und Sichtbarmachung | Hybride Formen des Bildwissens«",,,/home/graduiertenkolleg-sichtbarkeit-und-sichtbarmachung-hybride-formen-des-bildwissens/,,,,,,,,1,
685,2016-05-30,"www.hfbk-dresden.de ",705,f,[],"www.hfbk-dresden.de ",,,,,,,,,hochschule-der-kunste-dresden,,,"Hochschule der Künste Dresden",,,/home/hochschule-der-kunste-dresden/,,,,,,,,1,
1398,2016-07-05,"Zur Webseite",874,f,[],"Zur Webseite",,,,,,,,,centre-research-architectural-design-road-university-queensland,,,"Centre for research on Architectural Design (ROAD), University of Queensland",,,/home/centre-research-architectural-design-road-university-queensland/,,,,,,,,1,"http://www.architecture.uq.edu.au http://www.architecture.uq.edu.au http://www.architecture.uq.edu.au http://www.architecture.uq.edu.au"
192,2016-05-09,www.medunigraz.at,106,f,[],www.medunigraz.at,,,,,,,,,medizinische-universitat-graz-abteilung-fur-neuroradiologie,,,"Medizinische Universität Graz (Abteilung für Neuroradiologie)",,,/home/medizinische-universitat-graz-abteilung-fur-neuroradiologie/,,,,,,,,1,"http://www.medunigraz.at http://www.medunigraz.at http://www.medunigraz.at http://www.medunigraz.at"
121,2016-04-28,"www.udk-berlin.deFakultät Gestaltung: Produkt- und ProzessdesignFakultät Musik: Sound Studies ",855,f,[],"www.udk-berlin.deFakultät Gestaltung: Produkt- und ProzessdesignFakultät Musik: Sound Studies ",,,,,,,,,universitat-der-kunste,,,"Universität der Künste",,,/home/universitat-der-kunste/,,,,,,,,1,"http://www.udk-berlin.de/ http://www.udk-berlin.de/ http://www.udk-berlin.de/ http://www.udk-berlin.de/"
124,2016-04-28,www.dhmd.de,856,f,[],www.dhmd.de,,,,,,,,,deutsches-hygiene-museum,,,"Deutsches Hygiene-Museum",,,/home/deutsches-hygiene-museum/,,,,,,,,1,"http://www.dhmd.de/ http://www.dhmd.de/ http://www.dhmd.de/ http://www.dhmd.de/"
1404,2016-07-05,"The Getty",881,f,[],"The Getty",,,,,,,,,getty-grant-program,,,"The Getty Grant Program",,,/home/getty-grant-program/,,,,,,,,1,"http://www.getty.edu http://www.getty.edu http://www.getty.edu http://www.getty.edu"
686,2016-05-30,www.iai.spk-berlin.de,711,f,[],www.iai.spk-berlin.de,,,,,,,,,iberoamerikanisches-institut,,,"Iberoamerikanisches Institut",,,/home/iberoamerikanisches-institut/,,,,,,,,1,
111,2016-04-27,"www.fu-berlin.de ",76,f,[],"www.fu-berlin.de ",,,,,,,,,freie-universitat-berlin,,,"Freie Universität Berlin",,,/home/freie-universitat-berlin/,,,,,,,,1,"http://www.fu-berlin.de http://www.fu-berlin.de http://www.fu-berlin.de http://www.fu-berlin.de"
1406,2016-07-05,Eikones,889,f,[],Eikones,,,,,,,,,universitat-basel-nationaler-forschungsschwerpunkt-bildkritik-macht-und-bedeutung-der-bilder,,,"Universität Basel, Nationaler Forschungsschwerpunkt Bildkritik - Macht und Bedeutung der Bilder",,,/home/universitat-basel-nationaler-forschungsschwerpunkt-bildkritik-macht-und-bedeutung-der-bilder/,,,,,,,,1,"https://eikones.ch https://eikones.ch https://eikones.ch https://eikones.ch"
136,2016-04-29,www.bauhaus-dessau.de,89,f,[],www.bauhaus-dessau.de,,,,,,,,,stiftung-bauhaus-dessau,,,"Stiftung Bauhaus Dessau",,,/home/stiftung-bauhaus-dessau/,,,,,,,,1,
