page_ptr_id,date,body,main_image_id,featured,image_carousel,main_image_caption,gefoerdert_durch_img_id,active,after_title,before_title,body_de,body_en,body_es,main_image_caption_de,main_image_caption_en,main_image_caption_es,search_description_de,search_description_en,search_description_es,seo_title_de,seo_title_en,seo_title_es,slug_de,slug_en,slug_es,title_de,title_en,title_es,url_path_de,url_path_en,url_path_es,is_digital,is_open_access,is_print,language,qualification,typ,year,urls
2286,2015-08-09,"PDF Tagungsband",,f,[],,,1,"In: Bredekamp, Horst/Schäffner, Wolfgang (Hg.): Haare hören – Strukturen wissen – Räume agieren. Berichte aus dem Interdisziplinären »Labor Bild Wissen Gestaltung«. Bielefeld: transcript, S. 185–198.","Bock von Wülfingen, Bettina (2015):","PDF Tagungsband",,,,,,,,,,,,bilder-der-bewegung-sexualitat-im-zellkern-um-1900-und-nach-2000,,,"Bilder der Bewegung. Sexualität im Zellkern um 1900 und nach 2000.",,,/home/bilder-der-bewegung-sexualitat-im-zellkern-um-1900-und-nach-2000/,,,t,t,t,de,1,3,2015-08-09,
1705,2014-07-12,,,f,[],,,1,"In: Dolle, Verena (Hg.): La representación de la Conquista en el teatro latinoamericano de los siglos XX y XXI. Hildesheim/Zürich/New York: Olms, S. 169–186.","Müller, Christoph (2014):",,,,,,,,,,,,,dos-mundos-en-colision-la-conquista-de-brasil-en-el-teatro-de-cesar-vieira-antonio-bivar-y-celso-luiz-paulini,,,"Dos mundos en colisión: la conquista de Brasil en el teatro de César Vieira, Antonio Bivar y Celso Luiz Paulini.",,,/home/dos-mundos-en-colision-la-conquista-de-brasil-en-el-teatro-de-cesar-vieira-antonio-bivar-y-celso-luiz-paulini/,,,f,f,t,es,1,3,2014-07-12,
2259,2014-08-08,PDF,,f,[],,,1,"In: Rivista Internazionale di Filosofia e Psicologia, Nr. 5, S. 29–42 (zuletzt aufgerufen: 8. August 2016) sowie in: Sandkühler, Hans Jörg (Hg.): Wissen. Wissenskulturen und die Kontextualität des Wissens. Bern: Peter Lang Verlag, S. 83–103.","Zittel, Claus (2014):",PDF,,,,,,,,,,,,wissenskulturen-wissensgeschichte-und-historische-epistemologie,,,"Wissenskulturen, Wissensgeschichte und Historische Epistemologie.",,,/home/wissenskulturen-wissensgeschichte-und-historische-epistemologie/,,,t,t,f,de,1,2,2014-08-08,"http://www.rifp.it/ojs/index.php/rifp/article/view/rifp.2014.0003/276 http://www.rifp.it/ojs/index.php/rifp/article/view/rifp.2014.0003/276 http://www.rifp.it/ojs/index.php/rifp/article/view/rifp.2014.0003/276 http://www.rifp.it/ojs/index.php/rifp/article/view/rifp.2014.0003/276"
2105,2009-07-28,,,f,[],,,1,"In: Molecular Ecology, vol. 18, pp. 4940–4954.","Hunt, H.V./Ansell, S.A./Russell, S.J./Schneider, H./Vogel, Johannes C. (2009):",,,,,,,,,,,,,genetic-diversity-and-phylogeography-two-diploid-ferns-asplenium-fontanum-subsp-fontanum-and-petrarchae-subsp-bivalens-western-mediterranean,,,"Genetic diversity and phylogeography in two diploid ferns, Asplenium fontanum subsp. fontanum and A. petrarchae subsp. bivalens, in the western Mediterranean .",,,/home/genetic-diversity-and-phylogeography-two-diploid-ferns-asplenium-fontanum-subsp-fontanum-and-petrarchae-subsp-bivalens-western-mediterranean/,,,t,f,f,en,1,2,2009-07-28,
736,2012-06-03,,,f,[],,,1,"In: JEMS, vol. 14, no. 3, pp. 971–996.","Friedman, Michael/Lehman, Rebbeca/Leyenson, Maxim/Teicher, Mina (2012):",,,,,,,,,,,,,ramified-covers-projective-plane-ii-generalizing-segres-theory-michael-friedman-rebbeca-lehman-maxim-leyenson-mina-teicher-publish-jems-volume-14-3-2012-pp-971996_2,,,"On ramified covers of the projective plane II: Generalizing Segre's theory.",,,/home/ramified-covers-projective-plane-ii-generalizing-segres-theory-michael-friedman-rebbeca-lehman-maxim-leyenson-mina-teicher-publish-jems-volume-14-3-2012-pp-971996_2/,,,t,f,t,en,1,2,2012-07-06,
1842,2015-07-14,,,f,[],,,1,"In: Heumann, Ina/Hermannstädter, Anita/Pannhorst, Kerstin (Hg.): Wissensdinge. Geschichten aus dem Naturkundemuseum. Berlin: Nicolai Verlag, S. 238–239.","Hennig, Jochen (2015):",,,,,,,,,,,,,ausblick-die-vergangenheit-die-interaktive-medienstation-juraskop,,,"Ausblick in die Vergangenheit. Die interaktive Medienstation Juraskop.",,,/home/ausblick-die-vergangenheit-die-interaktive-medienstation-juraskop/,,,f,f,t,de,1,3,2015-07-14,
1619,2014-07-11,,,f,[],,,1,"In: Kulturforum Dessau: Dessau – Stadt ohne Zentrum? Leipzig: Spector Books, S. 99–107.","Oswalt, Philipp (2014):",,,,,,,,,,,,,bauhaus-ausgestellt-warum-das-bauhausmuseum-am-falschen-ort-gebaut-wird,,,"Bauhaus ausgestellt. Warum das Bauhausmuseum am falschen Ort gebaut wird.",,,/home/bauhaus-ausgestellt-warum-das-bauhausmuseum-am-falschen-ort-gebaut-wird/,,,f,f,t,de,1,3,2014-07-11,
2587,2016-09-15,,,f,[],,,1,"In: Petzer, Tatjana/Steiner, Stephan (Hg.): Synergie. Kultur- und Wissensgeschichte einer Denkfigur. Paderborn: Wilhelm Fink Verlag, S. 227–246.","Vagt, Christina (2016):",,,,,,,,,,,,,all-things-are-vectors-kosmologie-und-synergetik-bei-richard-buckminster-fuller-und-alfred-north-whitehead,,,"»All Things Are Vectors.« Kosmologie und Synergetik bei Richard Buckminster Fuller und Alfred North-Whitehead.",,,/home/all-things-are-vectors-kosmologie-und-synergetik-bei-richard-buckminster-fuller-und-alfred-north-whitehead/,,,f,f,t,de,1,3,2016-09-15,
2344,2010-08-24,,,f,[],,,1,"Berlin/München: Deutscher Kunstverlag.","Kappel, Kai (2010):",,,,,,,,,,,,,religiose-erinnerungsorte-der-kz-gedenkstatte-dachau-dachau-concentration-camp-memorial-site-religious-memorials,,,"Religiöse Erinnerungsorte in der KZ-Gedenkstätte Dachau / Dachau Concentration Camp Memorial Site. Religious Memorials.",,,/home/religiose-erinnerungsorte-der-kz-gedenkstatte-dachau-dachau-concentration-camp-memorial-site-religious-memorials/,,,f,f,t,de,1,5,2010-08-24,
1482,2014-07-08,,,f,[],,,1,"In: Arch+. Zeitschrift für Architektur und Städtebau, Nr. 218, S. 92–104.","Barthel, Stephan/Oswalt, Philipp/Schmidt, Anne/Mende, Julia von (2014):",,,,,,,,,,,,,privater-haushalt-und-stadtischer-stoffwechsel-eine-geschichte-vor-verdichtung-und-auslagerung-berlin-1700-1930,,,"Privater Haushalt und Städtischer Stoffwechsel – Eine Geschichte vor Verdichtung und Auslagerung Berlin 1700 – 1930.",,,/home/privater-haushalt-und-stadtischer-stoffwechsel-eine-geschichte-vor-verdichtung-und-auslagerung-berlin-1700-1930/,,,f,f,t,de,1,2,2014-07-08,
