page_ptr_id,date,body,main_image_id,featured,image_carousel,end_date,location_address,location_title,start_date,body_de,body_en,body_es,search_description_de,search_description_en,search_description_es,seo_title_de,seo_title_en,seo_title_es,slug_de,slug_en,slug_es,title_de,title_en,title_es,url_path_de,url_path_en,url_path_es,main_image_caption,main_image_caption_de,main_image_caption_en,main_image_caption_es,gefoerdert_durch_img_id,location_address2,active,urls
1236,2005-09-29,"Eine Tagung des Hermann von Helmholtz-Zentrums für Kulturtechnik, 7. Treffen von nordamerikanischem und deutschem Hochschullehrernachwuchs der germanistischen Mediävistik Zum Programm",,f,[],"2005-10-01 19:00:00+02","Unter den Linden 6, Raum 3031","Hauptgebäude der HU Berlin","2005-09-29 20:00:00+02","Eine Tagung des Hermann von Helmholtz-Zentrums für Kulturtechnik, 7. Treffen von nordamerikanischem und deutschem Hochschullehrernachwuchs der germanistischen Mediävistik Zum Programm",,,,,,,,,tagung-imaginatio-imagination-und-deixis-stimulation-und-lenkung-von-wahrnehmung-mittelalterlichen-texten-und-bildern,,,"Tagung »Imaginatio. Imagination und Deixis – Stimulation und Lenkung von Wahrnehmung in mittelalterlichen Texten und Bildern«",,,/home/tagung-imaginatio-imagination-und-deixis-stimulation-und-lenkung-von-wahrnehmung-mittelalterlichen-texten-und-bildern/,,,,,,,,,1,"https://www2.hu-berlin.de/hzk/bsz.php?show=veranstaltungen&#38;which=imaginatio https://www2.hu-berlin.de/hzk/bsz.php?show=veranstaltungen&#38;which=imaginatio https://www2.hu-berlin.de/hzk/bsz.php?show=veranstaltungen&#38;which=imaginatio https://www2.hu-berlin.de/hzk/bsz.php?show=veranstaltungen&#38;which=imaginatio"
1456,2009-06-11,"Wolfgang Reinhard ist Experte für politische Verflechtungen in der europäischen und außereuropäischen Welt. Über die Geschichte der europäischen Expansion hat er ebenso ein Standardwerk verfasst wie über die Geschichte der Staatsgewalt. In seinem Vortrag erläutert er, dass solch große Politik sich oft im Kleinen ereignet und durch persönliche Interessen entscheidend beeinflusst wird:»Ausgehend von einem Bonmot des Philosophen Pascal wird der allgemein bekannten, aber wissenschaftlich kaum beachteten Tatsache nachgegangen, dass Politik zum größeren Teil mit Eigenschaften, Interessen und Intrigen von Personen und Gruppen zu tun hat und nur zum geringeren Teil mit den Sachfragen des Gemeinwesens und des Gemeinwohls, ja dass letztere in der Regel überhaupt nur auf dem Weg über erstere bearbeitet werden können. Dieser Sachverhalt wird zunächst zusammenhängend entwickelt und anschließend an ausgewählten Beispielen aus Geschichte und Politik demonstriert. Darauf folgt eine historisch-anthropologische Hypothese, die erklären soll, warum sich die Dinge so und nicht anders verhalten. Zum Schluss werden dann Überlegungen darüber angestellt, welche Folgen sich aus dieser Erkenntnis für Wissenschaft und Leben ergeben könnten.«Wolfgang Reinhard studierte Geschichte, Anglistik und Geographie in Freiburg und Heidelberg. Nach seiner Promotion und mehreren Jahren im Schuldienst habilitierte er sich 1973 in Freiburg. Dort wurde er Lehrstuhlvertreter und außerplanmäßiger Professor. 1977 folgte er als Professor für Neuere und Außereuropäische Geschichte einem Ruf an die Universität Augsburg, wo er bis 1990 einen Lehrstuhl innehatte. Von 1990 bis zu seiner Emeritierung 2002 war er Ordinarius für Neuere Geschichte in Freiburg. Seit 2005 ist er Fellow am Max-Weber-Kolleg für kultur- und sozialwissenschaftliche Studien in Erfurt. Reinhard beschäftigt sich insbesondere mit europäischer Expansion, Papstgeschichte, Kolonialismus, historischer Anthropologie und vergleichender Verfassungsgeschichte Europas. Er ist Mitglied der British Academy, der Accademia di San Carlo di Milano und der Heidelberger Akademie der Wissenschaften. 2001 erhielt er den Preis des Historischen Kollegs.Mehr zum Thema:Wolfgang Reinhard: 'Kleine Politik ganz groß', in: Johannes Burkhardt u.a., Faszinierende Frühneuzeit: Reich, Frieden, Kultur und Kommunikation 1500-1800, Berlin 2008.Derselbe: Paul V. Borghese, 1605-1621, Mikropolitische Papstgeschichte (Päpste und Papsttum 37), Stuttgart (erscheint 2009).Derselbe (Hg.): Römische Mikropolitik unter Papst Paul V. Borghese (1605-1621) zwischen Spanien, Neapel, Mailand und Genua, Tübingen 2004.",1089,f,[],,"Unter den Linden 6","Kinosaal der Humboldt-Universität zu Berlin","2009-06-11 20:30:00+02","Wolfgang Reinhard ist Experte für politische Verflechtungen in der europäischen und außereuropäischen Welt. Über die Geschichte der europäischen Expansion hat er ebenso ein Standardwerk verfasst wie über die Geschichte der Staatsgewalt. In seinem Vortrag erläutert er, dass solch große Politik sich oft im Kleinen ereignet und durch persönliche Interessen entscheidend beeinflusst wird:»Ausgehend von einem Bonmot des Philosophen Pascal wird der allgemein bekannten, aber wissenschaftlich kaum beachteten Tatsache nachgegangen, dass Politik zum größeren Teil mit Eigenschaften, Interessen und Intrigen von Personen und Gruppen zu tun hat und nur zum geringeren Teil mit den Sachfragen des Gemeinwesens und des Gemeinwohls, ja dass letztere in der Regel überhaupt nur auf dem Weg über erstere bearbeitet werden können. Dieser Sachverhalt wird zunächst zusammenhängend entwickelt und anschließend an ausgewählten Beispielen aus Geschichte und Politik demonstriert. Darauf folgt eine historisch-anthropologische Hypothese, die erklären soll, warum sich die Dinge so und nicht anders verhalten. Zum Schluss werden dann Überlegungen darüber angestellt, welche Folgen sich aus dieser Erkenntnis für Wissenschaft und Leben ergeben könnten.«Wolfgang Reinhard studierte Geschichte, Anglistik und Geographie in Freiburg und Heidelberg. Nach seiner Promotion und mehreren Jahren im Schuldienst habilitierte er sich 1973 in Freiburg. Dort wurde er Lehrstuhlvertreter und außerplanmäßiger Professor. 1977 folgte er als Professor für Neuere und Außereuropäische Geschichte einem Ruf an die Universität Augsburg, wo er bis 1990 einen Lehrstuhl innehatte. Von 1990 bis zu seiner Emeritierung 2002 war er Ordinarius für Neuere Geschichte in Freiburg. Seit 2005 ist er Fellow am Max-Weber-Kolleg für kultur- und sozialwissenschaftliche Studien in Erfurt. Reinhard beschäftigt sich insbesondere mit europäischer Expansion, Papstgeschichte, Kolonialismus, historischer Anthropologie und vergleichender Verfassungsgeschichte Europas. Er ist Mitglied der British Academy, der Accademia di San Carlo di Milano und der Heidelberger Akademie der Wissenschaften. 2001 erhielt er den Preis des Historischen Kollegs.Mehr zum Thema:Wolfgang Reinhard: 'Kleine Politik ganz groß', in: Johannes Burkhardt u.a., Faszinierende Frühneuzeit: Reich, Frieden, Kultur und Kommunikation 1500-1800, Berlin 2008.Derselbe: Paul V. Borghese, 1605-1621, Mikropolitische Papstgeschichte (Päpste und Papsttum 37), Stuttgart (erscheint 2009).Derselbe (Hg.): Römische Mikropolitik unter Papst Paul V. Borghese (1605-1621) zwischen Spanien, Neapel, Mailand und Genua, Tübingen 2004.",,,,,,,,,helmholtz-vorlesung-die-nase-der-kleopatra-kleine-politik-ganz-gross-mit-prof-em-dr-wolfgang-reinhard,,,"Helmholtz-Vorlesung »Die Nase der Kleopatra. Kleine Politik ganz groß« mit Prof. em. Dr. Wolfgang Reinhard",,,/home/helmholtz-vorlesung-die-nase-der-kleopatra-kleine-politik-ganz-gross-mit-prof-em-dr-wolfgang-reinhard/,,,,,,,,,1,
1747,2016-02-11,"Organizers: Carolyn Birdsall (University of Amsterdam), Jochen Hennig (Humboldt-Universität zu Berlin), Britta Lange (Humboldt-Universität zu Berlin) and Viktoria Tkaczyk (MPI for the History of Science and Humboldt-Universität zu Berlin)Program &#38;gt;&#38;gt;&#38;gt;In 1915, the Berlin phonetician Wilhelm Doegen initiated the Royal Prussian Phonographic Commission, one of the most systematic enterprises in early sound archiving. For this project, the phonograph and gramophone served as tools to collect and study a wide range of languages, music, and natural sounds. Contributors to the initiative included researchers based in disciplines such as phonetics, linguistics, Oriental and African studies, musicology and anthropology, zoology, medicine, and criminology. Between 1915 and 1918, over 1,030 Edison cylinders with musical recordings (today stored in the Berlin Phonogram Archive) and over 1,650 shellac recordings of the languages of prisoners of war were produced. Today, this collection forms part of the “Lautarchiv of Berlin,” held at the Hermann von Helmholtz-Zentrum für Kulturtechnik at Humboldt-Universität zu Berlin.A century after Doegen’s project, this conference reexamines the founding, use, and reuse of sound archives in the humanities and sciences. One of its aims is to contextualize pioneering scientific sound archives, and thus the development of recording technologies, archival practices, and new research methods and disciplines. A second objective is to explore the relationship between the history of scientific sound archiving and the role of contemporary sound archives in the creation and dissemination of knowledge. The archive’s centenary also prompts questions about the status of sound archives in the present digital era: providing access to sound records opens up possibilities for new research agendas, but inevitably also raises complex ethical and legal issues.The first day of the conference will be dedicated to the significance of sound archives for various disciplines in the humanities and sciences. The discussion will engage with three interrelated strands of comparison: (a) founding the archive – the historical emergence of scientific sound archives and collections in various disciplines; (b) using the archive – the history of research in sound archives and shifts in perspectives, for example the definition of these collections as scientific cultural heritage; and (c) making the archive public – the history of public uses of scientific sound collections, and strategies for presenting and engaging with these collections.The second day focuses on the Berliner Lautarchiv recordings and their potential reuse in the present. Participants will reflect on the epistemic shifts that can be traced from the production of the recordings right up to re-listening in the present. Of particular relevance here are the prisoner-of-war recordings, originally produced for linguistic and anthropological research. One concern is how to reframe these recordings as forms of personal testimony and as cultural heritage for the communities to which the prisoners belonged. The discussion will reflect on ways of facilitating transnational research collaboration and international awareness of the holdings. The conference will conclude with a roundtable on the future context and framing of the Lautarchiv in the projected Humboldt Forum at the Berlin Stadtschloss square.Further Information &#38;gt;&#38;gt;",,f,[],"2016-02-13 17:30:00+01","Sophienstr. 22 a, 2. Hof, 2. OG rechts,","Zentraler Laborraum des Interdisziplinären Labors","2016-02-11 10:30:00+01",,"Organizers: Carolyn Birdsall (University of Amsterdam), Jochen Hennig (Humboldt-Universität zu Berlin), Britta Lange (Humboldt-Universität zu Berlin) and Viktoria Tkaczyk (MPI for the History of Science and Humboldt-Universität zu Berlin)Program &#38;gt;&#38;gt;&#38;gt;In 1915, the Berlin phonetician Wilhelm Doegen initiated the Royal Prussian Phonographic Commission, one of the most systematic enterprises in early sound archiving. For this project, the phonograph and gramophone served as tools to collect and study a wide range of languages, music, and natural sounds. Contributors to the initiative included researchers based in disciplines such as phonetics, linguistics, Oriental and African studies, musicology and anthropology, zoology, medicine, and criminology. Between 1915 and 1918, over 1,030 Edison cylinders with musical recordings (today stored in the Berlin Phonogram Archive) and over 1,650 shellac recordings of the languages of prisoners of war were produced. Today, this collection forms part of the “Lautarchiv of Berlin,” held at the Hermann von Helmholtz-Zentrum für Kulturtechnik at Humboldt-Universität zu Berlin.A century after Doegen’s project, this conference reexamines the founding, use, and reuse of sound archives in the humanities and sciences. One of its aims is to contextualize pioneering scientific sound archives, and thus the development of recording technologies, archival practices, and new research methods and disciplines. A second objective is to explore the relationship between the history of scientific sound archiving and the role of contemporary sound archives in the creation and dissemination of knowledge. The archive’s centenary also prompts questions about the status of sound archives in the present digital era: providing access to sound records opens up possibilities for new research agendas, but inevitably also raises complex ethical and legal issues.The first day of the conference will be dedicated to the significance of sound archives for various disciplines in the humanities and sciences. The discussion will engage with three interrelated strands of comparison: (a) founding the archive – the historical emergence of scientific sound archives and collections in various disciplines; (b) using the archive – the history of research in sound archives and shifts in perspectives, for example the definition of these collections as scientific cultural heritage; and (c) making the archive public – the history of public uses of scientific sound collections, and strategies for presenting and engaging with these collections.The second day focuses on the Berliner Lautarchiv recordings and their potential reuse in the present. Participants will reflect on the epistemic shifts that can be traced from the production of the recordings right up to re-listening in the present. Of particular relevance here are the prisoner-of-war recordings, originally produced for linguistic and anthropological research. One concern is how to reframe these recordings as forms of personal testimony and as cultural heritage for the communities to which the prisoners belonged. The discussion will reflect on ways of facilitating transnational research collaboration and international awareness of the holdings. The conference will conclude with a roundtable on the future context and framing of the Lautarchiv in the projected Humboldt Forum at the Berlin Stadtschloss square.Further Information &#38;gt;&#38;gt;",,,,,,,,listening-archive-histories-sound-data-humanities-and-sciences,,,"Listening to the Archive. Histories of Sound Data in the Humanities and Sciences",,,/home/listening-archive-histories-sound-data-humanities-and-sciences/,,,,,,,,"10115 Berlin",1,"https://drupal.mpiwg-berlin.mpg.de/workshops/node/60 https://drupal.mpiwg-berlin.mpg.de/workshops/node/60 https://drupal.mpiwg-berlin.mpg.de/workshops/node/60 https://drupal.mpiwg-berlin.mpg.de/workshops/node/60"
1480,2008-07-03,"Öffentliche Museen haben es nicht immer leicht, sich gegen kauffreudige Privatsammler durchzusetzen. Chris Dercon sieht in dieser Konkurrenzsituation jedoch eine Chance. Als Leiter eines Museums in staatlicher und privater Verantwortung wird er im Rahmen der Vorlesung erläutern, auf welchen Gebieten öffentliche Museen den privaten voraus sind und wie sie ihre Vorzüge nutzen können.»Ich glaube, dass das öffentliche Museum gefährdet ist, da es so viele Aufträge hat. Bewahrung und wissenschaftliche Bearbeitung sind natürlich am wichtigsten, doch leider auch am unspektakulärsten – das zieht die Massen nicht an. Der Auftrag des öffentlichen Museums scheint also besonders unsichtbar zu sein. Dennoch muss man diese Verantwortung unbedingt übernehmen. Wir müssen die Rolle des öffentlichen Museums neu definieren. [...] Die Frage ist, was man dort zeigen soll und wie man es zeigen muss. Mein Vortrag handelt davon, welches Feld wir noch besetzen können.«Dercon ist seit Januar 2003 Direktor am Haus der Kunst in München. Der gebürtige Belgier hat Kunstgeschichte, Theaterwissenschaft und Filmtheorie in Amsterdam und Leiden studiert. Anschließend war er Dozent für Video und Kino an der flämischen Kunsthochschule Sint-Lukas in Brüssel, zur gleichen Zeit hat er Kunst- und Kultur-Dokumentationen für den belgischen Rundfunk produziert. Er hat das P.S.1 Contemporary Art Centre in New York, eine Außenstelle des MoMA, sowie die Rotterdammer Museen Witte de With Centre for Contemporary Art und Boijmans Van Beuningen geleitet.Mehr zum Thema:Chris Dercon: »Man kann ein Museum sein oder man kann modern sein, aber man kann nicht beides sein (Gertrude Stein)«, in: Kunst des Ausstellens. Beiträge, Statements, Diskussionen. Hrsg. von Hans Dieter Huber, Hubert Locher, Karin Schulte im Auftrag der Staatlichen Akademie der Bildenden Künste, Ostfildern-Ruit: Hatje Cantz 2002, S. 163-178.",,f,[],,"Unter den Linden 6","Kinosaal der Humboldt-Universität zu Berlin","2008-07-03 20:30:00+02","Öffentliche Museen haben es nicht immer leicht, sich gegen kauffreudige Privatsammler durchzusetzen. Chris Dercon sieht in dieser Konkurrenzsituation jedoch eine Chance. Als Leiter eines Museums in staatlicher und privater Verantwortung wird er im Rahmen der Vorlesung erläutern, auf welchen Gebieten öffentliche Museen den privaten voraus sind und wie sie ihre Vorzüge nutzen können.»Ich glaube, dass das öffentliche Museum gefährdet ist, da es so viele Aufträge hat. Bewahrung und wissenschaftliche Bearbeitung sind natürlich am wichtigsten, doch leider auch am unspektakulärsten – das zieht die Massen nicht an. Der Auftrag des öffentlichen Museums scheint also besonders unsichtbar zu sein. Dennoch muss man diese Verantwortung unbedingt übernehmen. Wir müssen die Rolle des öffentlichen Museums neu definieren. [...] Die Frage ist, was man dort zeigen soll und wie man es zeigen muss. Mein Vortrag handelt davon, welches Feld wir noch besetzen können.«Dercon ist seit Januar 2003 Direktor am Haus der Kunst in München. Der gebürtige Belgier hat Kunstgeschichte, Theaterwissenschaft und Filmtheorie in Amsterdam und Leiden studiert. Anschließend war er Dozent für Video und Kino an der flämischen Kunsthochschule Sint-Lukas in Brüssel, zur gleichen Zeit hat er Kunst- und Kultur-Dokumentationen für den belgischen Rundfunk produziert. Er hat das P.S.1 Contemporary Art Centre in New York, eine Außenstelle des MoMA, sowie die Rotterdammer Museen Witte de With Centre for Contemporary Art und Boijmans Van Beuningen geleitet.Mehr zum Thema:Chris Dercon: »Man kann ein Museum sein oder man kann modern sein, aber man kann nicht beides sein (Gertrude Stein)«, in: Kunst des Ausstellens. Beiträge, Statements, Diskussionen. Hrsg. von Hans Dieter Huber, Hubert Locher, Karin Schulte im Auftrag der Staatlichen Akademie der Bildenden Künste, Ostfildern-Ruit: Hatje Cantz 2002, S. 163-178.",,,,,,,,,helmholtz-vorlesung-privat-oder-offentlich-uber-die-zukunft-des-museums-mit-chris-dercon,,,"Helmholtz-Vorlesung »Privat oder öffentlich? Über die Zukunft des Museums« mit Chris Dercon",,,/home/helmholtz-vorlesung-privat-oder-offentlich-uber-die-zukunft-des-museums-mit-chris-dercon/,,,,,,,,,1,
857,2015-02-05,"In ihrem Vortrag untersucht Dipl. Thea. Esther Köhring, welche Rolle Pferde in der performativen und theoretischen Aushandlung des Theaters spielten und spielen, in der sich unsere Vorstellungen davon, was Theater ist, und davon, was Tiere sind, gegenseitig und aneinander konstituieren. Der Vortrag steht damit im Kontext der Forschungsarbeiten Köhrings zu den Bestiarien des Theaters/Theater des Bestiariums.In einem kursorischen Überblick werden die ikonischen performativen Bühnenpferde der letzten 50 Jahre vorgestellt (Joseph Beuys, Societas Raffaello Sanzio, Warhorse, Antonia Baehr) sowie der Funktion von Pferden in der aktuellen theaterwissenschaftlichen Debatte nachgespürt. Das Interesse gilt dabei einer Kontextualisierung der Arbeiten und ihrer Pferde in einer Kulturgeschichte der Pferde-Bühnen (wobei Bühne nicht nur die Theaterbühne, sondern allgemeiner Bühnen des Wissens meint).Ziel ist es, wirksame aber nicht notwendig sichtbare Bühnen-Pferde zu identifizieren, die als Reflektions- und Projektionsfiguren von Theatertheorie und -praxis (als \&quot;Theater-Pferde\&quot;) dienen: Das Hippodrama um 1800 und die Debatte um den „Klugen Hans“ sind Akteure auch in der jüngeren Geschichte der Bühnen-Pferde.Abschließend steht die (teilweise offene) Frage, weshalb gerade die Pferde diese Position in der Theaterpraxis und -theorie besetzen und performen: Ist dies reiner Effekt von Zitation und kulturhistorischer Aufladung, oder im \&quot;Pferd an sich\&quot; begründet?Dipl. Thea. Esther Köhringist diplomierte Theaterwissenschafterin. Seit 2010 ist sie Mitarbeiterin und Doktorandin an der Neueren deutschen Literaturgeschichte, Universität Würzburg und promoviert zu Tieren auf Bühnen. Gemeinsam mit Roland Borgards und Alexander Kling leitet sie seit 2012 das Nachwuchsforscher_innennetzwerk Cultural and Literary Animal Studies (CLAS).",732,f,[],,"Philippstr. 12/13, 10115 Berlin-Mitte","Tieranatomisches Theater","2015-02-05 19:00:00+01",,"In ihrem Vortrag untersucht Dipl. Thea. Esther Köhring, welche Rolle Pferde in der performativen und theoretischen Aushandlung des Theaters spielten und spielen, in der sich unsere Vorstellungen davon, was Theater ist, und davon, was Tiere sind, gegenseitig und aneinander konstituieren. Der Vortrag steht damit im Kontext der Forschungsarbeiten Köhrings zu den Bestiarien des Theaters/Theater des Bestiariums.In einem kursorischen Überblick werden die ikonischen performativen Bühnenpferde der letzten 50 Jahre vorgestellt (Joseph Beuys, Societas Raffaello Sanzio, Warhorse, Antonia Baehr) sowie der Funktion von Pferden in der aktuellen theaterwissenschaftlichen Debatte nachgespürt. Das Interesse gilt dabei einer Kontextualisierung der Arbeiten und ihrer Pferde in einer Kulturgeschichte der Pferde-Bühnen (wobei Bühne nicht nur die Theaterbühne, sondern allgemeiner Bühnen des Wissens meint).Ziel ist es, wirksame aber nicht notwendig sichtbare Bühnen-Pferde zu identifizieren, die als Reflektions- und Projektionsfiguren von Theatertheorie und -praxis (als \&quot;Theater-Pferde\&quot;) dienen: Das Hippodrama um 1800 und die Debatte um den „Klugen Hans“ sind Akteure auch in der jüngeren Geschichte der Bühnen-Pferde.Abschließend steht die (teilweise offene) Frage, weshalb gerade die Pferde diese Position in der Theaterpraxis und -theorie besetzen und performen: Ist dies reiner Effekt von Zitation und kulturhistorischer Aufladung, oder im \&quot;Pferd an sich\&quot; begründet?Dipl. Thea. Esther Köhringist diplomierte Theaterwissenschafterin. Seit 2010 ist sie Mitarbeiterin und Doktorandin an der Neueren deutschen Literaturgeschichte, Universität Würzburg und promoviert zu Tieren auf Bühnen. Gemeinsam mit Roland Borgards und Alexander Kling leitet sie seit 2012 das Nachwuchsforscher_innennetzwerk Cultural and Literary Animal Studies (CLAS).",,,,,,,,buhnenpferde-pferdebuhnen-thesen-aus-theaterwissenschaftlicher-perspektive,,,"Bühnenpferde, Pferdebühnen: Thesen aus theaterwissenschaftlicher Perspektive",,,/home/buhnenpferde-pferdebuhnen-thesen-aus-theaterwissenschaftlicher-perspektive/,,,,,,,,,1,
1634,1995-12-07,,,f,[],,"Unter den Linden 6","Kinosaal der Humboldt-Universität zu Berlin","1995-12-07 19:00:00+01",,,,,,,,,,helmholtz-vorlesung-stand-der-klimaforschung-mit-prof-dr-klaus-hasselmann,,,"Helmholtz-Vorlesung »Stand der Klimaforschung« mit Prof. Dr. Klaus Hasselmann",,,/home/helmholtz-vorlesung-stand-der-klimaforschung-mit-prof-dr-klaus-hasselmann/,,,,,,,,,1,
1239,2005-06-28,"Zum Programm von Figuren der Isolation",,f,[],,"Wilhelmstr. 44, 10117 Berlin","Max-Planck-Institut für Wissenschaftsgeschichte","2005-01-28 15:00:00+01","Zum Programm von Figuren der Isolation",,,,,,,,,arbeitsgesprach-zwischenraume-9-figuren-der-isolation,,,"Arbeitsgespräch »ZwischenRäume 9: Figuren der Isolation«",,,/home/arbeitsgesprach-zwischenraume-9-figuren-der-isolation/,,,,,,,,,1,"https://www2.hu-berlin.de/hzk/veranstaltungen.php?show=zwischen&#38;go=9 https://www2.hu-berlin.de/hzk/veranstaltungen.php?show=zwischen&#38;go=9 https://www2.hu-berlin.de/hzk/veranstaltungen.php?show=zwischen&#38;go=9 https://www2.hu-berlin.de/hzk/veranstaltungen.php?show=zwischen&#38;go=9"
1607,1999-02-04,,,f,[],,"Unter den Linden 6","Kinosaal der Humboldt-Universität zu Berlin","1999-02-04 19:00:00+01",,,,,,,,,,helmholtz-vorlesung-die-gestaltende-zeit-mit-prof-dr-dr-hc-mult-hermann-haken,,,"Helmholtz-Vorlesung »Die gestaltende Zeit« mit Prof. Dr. Dr. h.c. mult. Hermann Haken",,,/home/helmholtz-vorlesung-die-gestaltende-zeit-mit-prof-dr-dr-hc-mult-hermann-haken/,,,,,,,,,1,
85,2015-11-04,"IM RAHMEN DES PROJEKTES »VISUELLE ZEITGESTALTUNG«Begrüßung und EinführungPROF. DR. CLAUDIA BLÜMLE, TILL JULIAN HUSSModerationPROF. DR. CHRISTOF WINDGÄTTERInterdisziplinäres Labor Bild Wissen GestaltungInstitut für Kunst- und Bildgeschichte der Humboldt-UniversitätBTK Hochschule für GestaltungPlakat zum Vortrag",1225,f,[],,"Dorotheenstraße 26 – Hörsaal 207","Humboldt Universität zu Berlin","2015-11-04 19:00:00+01","IM RAHMEN DES PROJEKTES »VISUELLE ZEITGESTALTUNG«Begrüßung und EinführungPROF. DR. CLAUDIA BLÜMLE, TILL JULIAN HUSSModerationPROF. DR. CHRISTOF WINDGÄTTERInterdisziplinäres Labor Bild Wissen GestaltungInstitut für Kunst- und Bildgeschichte der Humboldt-UniversitätBTK Hochschule für GestaltungPlakat zum Vortrag",,,,,,,,,gottfried-boehm-uber-ikonische-zeit,,,"Gottfried Boehm: »Über ikonische Zeit«",,,/home/gottfried-boehm-uber-ikonische-zeit/,,,,,,,,,1,
2614,2016-12-03,"Von Studierenden moderierter Spaziergang durch die Ausstellung.Samstags 14 Uhrkeine Anmeldung erforderlichMax. 20 Teilnehmer_innenTeilnahmegebühr p. P.: 3 Euro",,f,[],,"Niederkirchnerstraße 7","Martin-Gropius-Bau Berlin","2016-12-03 15:00:00+01","Von Studierenden moderierter Spaziergang durch die Ausstellung.Samstags 14 Uhrkeine Anmeldung erforderlichMax. 20 Teilnehmer_innenTeilnahmegebühr p. P.: 3 Euro","Von Studierenden moderierter Spaziergang durch die Ausstellung.Samstags 14 Uhrkeine Anmeldung erforderlichMax. 20 Teilnehmer_innenTeilnahmegebühr p. P.: 3 Euro","Von Studierenden moderierter Spaziergang durch die Ausstellung.Samstags 14 Uhrkeine Anmeldung erforderlichMax. 20 Teilnehmer_innenTeilnahmegebühr p. P.: 3 Euro",,,,,,,fuhrung-wissen-schafft-fragen_11,,,"Führung | „wissen schafft fragen“","Führung | „wissen schafft fragen“","Führung | „wissen schafft fragen“",/home/fuhrung-wissen-schafft-fragen_11/,,,,,,,,"10963 Berlin",1,
