page_ptr_id,date,body,main_image_id,featured,image_carousel,body_de,body_en,body_es,search_description_de,search_description_en,search_description_es,seo_title_de,seo_title_en,seo_title_es,slug_de,slug_en,slug_es,title_de,title_en,title_es,url_path_de,url_path_en,url_path_es,main_image_caption,main_image_caption_de,main_image_caption_en,main_image_caption_es,gefoerdert_durch_img_id,active,urls
46,2016-04-01,"Newsletter 10",638,f,"[{\&quot;value\&quot;: [{\&quot;image\&quot;: 639}, {\&quot;image\&quot;: 640}, {\&quot;image\&quot;: 642}, {\&quot;image\&quot;: 643}, {\&quot;image\&quot;: 644}, {\&quot;image\&quot;: 645}, {\&quot;image\&quot;: 646}, {\&quot;image\&quot;: 647}, {\&quot;image\&quot;: 648}, {\&quot;image\&quot;: 649}, {\&quot;image\&quot;: 650}, {\&quot;image\&quot;: 651}, {\&quot;image\&quot;: 652}, {\&quot;image\&quot;: 653}, {\&quot;image\&quot;: 654}, {\&quot;image\&quot;: 655}, {\&quot;image\&quot;: 656}, {\&quot;image\&quot;: 657}, {\&quot;image\&quot;: 658}, {\&quot;image\&quot;: 659}, {\&quot;image\&quot;: 660}, {\&quot;image\&quot;: 662}, {\&quot;image\&quot;: 663}, {\&quot;image\&quot;: 664}, {\&quot;image\&quot;: 665}], \&quot;type\&quot;: \&quot;image_carousel\&quot;}]","Newsletter 10","Newsletter 10","El buletín del Cluster# 10",,,,,,,newsletter-interdisziplinares-labor-10,,,"Newsletter Interdisziplinäres Labor #10","Newsletter# 10","El buletín del Cluster# 10",/home/newsletter-interdisziplinares-labor-10/,,,,,,,,1,
36,2014-05-01,"Newsletter 3",25,f,[],"Newsletter 3","Newsletter 3","El buletín del Cluster# 3",,,,,,,newsletterinterdisziplinares-labor-3,,,"NewsletterInterdisziplinäres Labor # 3","Newsletter# 3","El buletín del Cluster# 3",/home/newsletterinterdisziplinares-labor-3/,,,,,,,,1,
35,2014-03-01,"Newsletter 2",24,f,[],"Newsletter 2","Newsletter 2",,,,,,,,newsletter-interdisziplinares-labor-2,,,"Newsletter Interdisziplinäres Labor # 2","Newsletter# 2",,/home/newsletter-interdisziplinares-labor-2/,,,,,,,,1,
37,2014-10-01,"Newsletter 4",26,f,[],"Newsletter 4","Newsletter 4","El buletín del Cluster# 4",,,,,,,newsletter-interdiziplinares-labor-4,,,"Newsletter Interdiziplinäres Labor #4","Newsletter# 4","El buletín del Cluster# 4",/home/newsletter-interdiziplinares-labor-4/,,,,,,,,1,
45,2015-12-01,"Newsletter 9",32,f,[],"Newsletter 9","Newsletter 9","El buletín del Cluster# 9",,,,,,,newsletter-interdisziplinares-labor-9,,,"Newsletter Interdisziplinäres Labor #9","Newsletter# 9","El buletín del Cluster# 9",/home/newsletter-interdisziplinares-labor-9/,,,,,,,,1,
40,2014-12-01,"Newsletter 5",27,f,[],"Newsletter 5","Newsletter 5","El buletín del Cluster# 5",,,,,,,newsletter-interdisziplinares-labor-5,,,"Newsletter Interdisziplinäres Labor #5","Newsletter #5","El buletín del Cluster# 5",/home/newsletter-interdisziplinares-labor-5/,,,,,,,,1,
41,2015-05-01,"Newsletter 6",28,f,[],"Newsletter 6","Newsletter 6","El buletín del Cluster# 6",,,,,,,newsletter-interdiszplinares-labor-6,,,"Newsletter Interdiszplinäres Labor #6","Newsletter# 6","El buletín del Cluster# 6",/home/newsletter-interdiszplinares-labor-6/,,,,,,,,1,
42,2015-07-01,"Newsletter 7",29,f,[],"Newsletter 7","Newsletter 7","El buletín del Cluster# 7",,,,,,,newsletter-interdisziplinares-labor-7,,,"Newsletter Interdisziplinäres Labor #7","Newsletter# 7","El buletín del Cluster# 7",/home/newsletter-interdisziplinares-labor-7/,,,,,,,,1,
43,2015-10-01,"Newsletter 8",30,f,[],"Newsletter 8","Newsletter 8","El buletín del Cluster# 8",,,,,,,newsletter-interdisziplinares-labor-8,,,"Newsletter Interdisziplinäres Labor #8","Newsletter# 8","El buletín del Cluster# 8",/home/newsletter-interdisziplinares-labor-8/,,,,,,,,1,
17,2013-11-01,"Newsletter 1",23,f,[],"Newsletter 1","Newsletter 1",,,,,,,,newsletter-interdisziplinares-labor-1,,,"Newsletter Interdisziplinäres Labor #1",,,/home/newsletter-interdisziplinares-labor-1/,,,,,,,,1,
