id,category_id,page_id,primarylabel
2236,4,1722,f
110,12,78,t
19,3,16,f
71,91,52,f
51,7,39,t
52,8,39,f
30,11,22,t
84,14,64,f
2180,4,1695,f
1726,4,1476,f
75,13,60,t
1045,54,741,t
2773,3,842,f
1436,25,1354,f
26,9,20,t
22,7,18,t
69,92,56,f
23,8,18,f
2257,4,1740,f
1040,44,312,t
77,9,61,t
1019,39,224,t
139,35,122,f
140,28,122,f
1704,4,1465,f
44,89,32,t
103,9,74,t
85,7,65,t
1067,116,772,f
14,3,13,f
88,10,66,f
24,7,19,t
200,33,119,t
29,8,21,f
2774,4,842,f
106,10,76,f
154,34,124,t
45,89,33,f
38,89,27,f
9,89,5,f
87,9,66,t
1039,117,312,f
221,20,108,t
93,11,69,t
155,29,124,f
111,15,79,t
122,25,103,f
1066,39,772,t
2181,3,1695,f
35,89,24,f
34,14,23,f
156,35,124,f
113,9,81,t
1691,3,1454,f
95,11,70,t
1072,34,125,t
25,8,19,f
1073,35,125,f
49,13,38,t
50,14,38,f
97,15,71,t
117,4,82,t
67,91,53,f
1727,3,1476,f
109,11,78,f
68,91,54,f
27,10,20,f
80,10,62,f
1012,53,702,t
20,91,17,t
46,91,35,f
99,13,72,t
86,8,65,f
36,89,25,f
37,90,26,f
81,9,63,t
94,12,69,f
96,12,70,f
1049,39,245,t
100,14,72,f
83,13,64,t
2822,3,1971,f
101,9,73,t
28,7,21,t
114,10,81,f
104,10,74,f
1171,16,1184,t
2209,3,1709,f
127,33,111,t
112,16,79,f
102,10,73,f
79,9,62,t
47,91,36,f
48,91,37,f
1074,29,125,f
1075,30,125,f
142,33,121,t
217,19,144,t
146,33,120,t
147,35,120,f
1054,39,249,t
91,11,68,t
216,92,143,f
157,30,124,f
2208,4,1709,f
215,91,143,t
33,13,23,t
201,35,119,f
90,14,67,f
138,33,122,t
13,4,13,f
118,3,82,f
18,4,16,f
107,15,77,t
143,35,121,f
123,13,109,t
974,54,499,t
124,14,109,f
2237,3,1722,f
39,89,28,f
41,89,30,f
202,28,119,f
98,16,71,f
78,10,61,f
119,20,102,f
108,16,77,f
82,10,63,f
120,24,102,t
197,36,139,t
198,28,139,f
2889,4,2006,f
2890,3,2006,f
89,13,67,t
199,31,139,f
128,30,111,f
76,14,60,f
31,12,22,f
203,30,119,f
15,13,14,t
16,14,14,f
169,67,131,f
176,34,134,t
177,35,134,f
2281,45,492,f
64,14,49,f
178,30,134,f
179,29,134,f
171,67,132,f
307,4,172,f
322,31,178,f
184,34,136,t
185,35,136,f
186,29,136,f
187,30,136,f
188,34,137,t
189,35,137,f
1190,50,1203,t
1068,57,773,t
1046,54,742,t
240,90,34,f
2924,4,823,f
1793,3,1507,f
1089,99,801,t
1681,3,1448,f
2258,3,1740,f
325,4,181,f
326,3,181,f
2061,3,1646,f
379,3,100,f
205,20,141,t
167,67,130,f
289,4,165,f
1207,3,1215,f
1233,3,1239,f
263,4,27,f
1227,3,1233,f
259,4,25,f
166,66,130,t
253,4,29,f
265,4,28,f
1206,4,1215,f
267,4,30,f
288,4,164,f
378,4,100,f
1076,131,410,f
279,4,158,f
2775,3,1956,f
61,4,47,f
302,92,53,f
62,3,47,f
2238,4,1723,f
160,66,127,t
1099,62,815,f
254,3,29,f
318,3,177,f
172,34,133,t
173,35,133,f
174,29,133,f
175,30,133,f
2824,3,1972,f
2271,47,1193,f
164,66,129,t
287,4,164,f
1100,62,816,f
2239,3,1723,f
239,90,32,t
269,4,32,f
270,3,32,f
192,34,138,t
193,35,138,f
194,29,138,f
195,30,138,f
303,92,54,f
301,92,52,f
1744,4,1487,f
141,30,122,f
162,66,128,t
63,13,49,t
257,4,26,f
319,33,178,f
1221,3,1227,f
258,3,26,f
246,90,33,f
271,4,33,f
272,3,33,f
190,29,137,f
191,30,137,f
247,90,26,f
286,3,162,f
291,7,166,f
312,3,174,f
255,4,24,f
256,3,24,f
1195,3,1208,f
241,89,34,f
309,4,173,f
159,67,126,f
161,67,127,f
1092,57,525,t
1184,50,1197,t
323,4,179,f
165,67,129,f
295,4,170,f
2854,4,1987,f
1094,62,804,f
2182,4,1696,f
2855,3,1987,f
1097,62,808,f
292,4,167,f
293,3,167,f
285,4,162,f
317,4,177,f
148,28,120,f
149,30,120,f
311,4,174,f
1692,3,1455,f
320,28,178,f
324,3,179,f
1030,56,719,t
321,36,178,t
170,66,132,t
261,4,5,f
1036,54,730,t
2247,4,1727,f
1214,3,1221,f
1095,62,806,f
1031,85,719,f
1041,56,738,t
296,3,170,f
2925,3,823,f
1013,53,703,t
2910,3,2015,f
327,4,182,f
328,3,182,f
310,3,173,f
168,66,131,t
280,3,158,f
290,3,165,f
308,3,172,f
2248,3,1727,f
73,91,58,f
1728,3,1477,f
1209,4,1216,f
1208,3,1216,f
390,4,97,f
391,3,97,f
430,4,202,f
431,3,202,f
434,4,204,f
1772,3,1497,f
445,14,208,f
435,3,204,f
1222,3,1228,f
426,4,200,f
1047,42,743,t
444,14,208,f
481,40,233,t
414,4,197,f
2776,4,1957,f
448,4,211,f
447,3,210,f
1043,54,739,t
415,3,197,f
458,4,215,f
337,4,187,f
338,3,187,f
361,31,194,f
432,4,203,f
341,34,189,t
342,29,189,f
433,3,203,f
427,3,200,f
462,19,217,t
332,3,184,f
364,4,161,f
461,3,216,f
460,4,216,f
428,4,201,f
450,4,212,f
350,33,192,f
351,28,192,f
352,36,192,t
353,31,192,f
484,44,236,t
348,4,191,f
349,3,191,f
449,3,211,f
459,3,215,f
1841,3,1556,f
438,4,205,f
451,3,212,f
2777,3,1957,f
180,34,135,t
1820,3,1544,f
1246,3,1252,f
404,4,85,f
1729,4,1478,f
1197,4,1210,f
1827,4,1549,f
1037,44,279,t
1215,3,1222,f
469,65,220,f
1185,50,1198,t
1730,3,1478,f
1242,3,1248,f
1238,3,1244,f
1234,3,1240,f
734,44,486,t
1228,3,1234,f
474,53,226,f
277,3,157,f
405,3,85,f
347,3,190,f
412,4,196,f
275,90,157,f
413,3,196,f
331,4,184,f
485,50,237,t
333,4,185,f
1807,4,1537,f
2212,4,1711,f
1755,4,1493,f
144,28,121,f
339,4,188,f
398,4,92,f
380,4,98,f
2213,3,1711,f
399,3,92,f
376,4,95,f
365,3,161,f
377,3,95,f
439,3,205,f
2856,4,1988,f
1191,50,1204,t
1764,71,410,f
346,4,190,f
2184,4,1697,f
2185,3,1697,f
452,4,213,f
453,3,213,f
478,39,230,f
381,3,98,f
386,4,94,f
1756,3,1493,f
354,33,193,f
382,4,89,f
383,3,89,f
278,89,157,f
334,3,185,f
488,39,240,t
335,4,186,f
336,3,186,f
340,3,188,f
387,3,94,f
1032,42,432,f
276,4,157,f
1792,4,1507,f
355,28,193,f
356,36,193,t
403,3,86,f
402,4,86,f
2826,3,1973,f
357,31,193,f
145,30,121,f
1808,3,1537,f
343,35,189,f
1746,4,1488,f
1747,3,1488,f
344,29,189,f
1070,131,242,f
345,30,189,f
358,33,194,f
359,36,194,t
389,3,93,f
388,4,93,f
373,3,88,f
1196,3,1210,f
360,28,194,f
1828,3,1549,f
1693,3,1456,f
635,50,387,t
557,50,309,t
620,50,372,t
627,45,379,t
632,50,384,t
607,50,359,t
626,50,378,t
2892,4,2008,f
523,44,275,t
530,45,282,t
2778,3,1958,f
600,50,352,t
1180,50,1193,t
2791,63,1836,f
594,50,346,t
558,42,310,t
2958,4,2034,f
502,40,254,t
556,42,308,t
1694,3,1457,f
611,50,363,t
2311,4,1760,f
572,47,324,t
2857,3,1988,f
2959,3,2034,f
2312,3,1760,f
528,49,280,t
2241,3,1724,f
513,40,265,t
592,50,344,t
658,53,410,f
2341,4,1779,f
250,24,141,f
2926,4,2020,f
604,50,356,t
2342,3,1779,f
673,45,425,t
664,50,416,t
2937,4,1368,f
2938,3,1368,f
2974,4,2043,f
494,39,246,f
547,45,299,t
625,46,377,t
2259,4,1741,f
561,42,313,t
2260,3,1741,f
493,53,245,f
2114,50,331,t
661,44,413,t
2792,4,1963,f
672,50,424,t
2793,3,1963,f
507,39,259,f
2355,3,1789,f
2288,142,743,f
2321,4,1766,f
2322,3,1766,f
660,42,412,f
3104,4,2123,f
3076,3,2092,f
593,50,345,t
2360,3,1793,f
562,39,314,t
629,39,381,t
2978,4,2045,f
595,42,347,t
548,45,300,t
2909,4,2015,f
1216,3,1223,f
586,45,338,t
669,49,421,t
514,42,266,t
539,46,291,t
2979,3,2045,f
496,40,248,t
503,40,255,t
574,42,326,t
566,42,318,t
512,39,264,t
2272,47,608,f
2183,3,1696,f
2186,4,1698,f
2187,3,1698,f
490,53,242,f
3008,4,2057,f
3009,3,2057,f
508,39,260,f
3022,4,2064,f
3023,3,2064,f
1223,3,1229,f
568,50,320,t
1210,3,1217,f
506,39,258,f
553,42,305,f
649,45,401,t
580,66,332,f
1199,3,1211,f
1198,4,1211,f
510,40,262,t
536,45,288,t
596,42,348,t
3110,4,2126,f
3111,3,2126,f
618,50,370,t
2174,3,1693,f
498,53,250,f
653,42,405,t
2290,4,915,f
504,40,256,t
1229,3,1235,f
2291,3,915,f
564,39,316,f
3067,3,1560,f
1732,3,1479,f
2214,4,1712,f
2215,3,1712,f
3096,4,2118,f
3097,3,2118,f
2828,3,1974,f
2329,4,767,f
2330,3,767,f
492,39,244,t
2362,4,1796,f
2363,3,1796,f
623,50,375,f
3105,3,2123,f
1707,3,1466,f
2307,4,1757,f
571,50,323,t
2308,97,1757,f
2366,3,1798,f
1706,4,1466,f
2373,4,1805,f
2374,3,1805,f
630,49,382,t
609,50,361,t
509,40,261,t
532,42,284,f
1187,50,1200,t
3086,4,2113,f
538,45,290,t
3087,3,2113,f
2020,4,1621,f
2021,3,1621,f
575,49,327,t
505,53,257,f
1925,119,432,f
2779,3,844,f
2780,4,844,f
829,42,581,t
676,48,428,t
799,47,551,t
2911,4,2016,f
2912,3,2016,f
836,47,588,t
768,47,520,t
1253,3,1259,f
815,53,567,t
699,46,451,t
3088,4,2114,f
1695,99,1458,f
3089,3,2114,f
712,45,464,t
729,42,481,f
703,50,455,t
222,24,108,f
750,48,502,t
720,47,472,t
2893,4,2009,f
698,50,450,t
751,48,503,t
754,48,506,t
679,42,431,t
786,47,538,t
739,50,491,f
2331,4,1772,f
677,50,429,t
808,40,560,t
849,50,601,t
732,42,484,t
726,42,478,t
728,50,480,t
1217,3,1224,f
760,47,512,t
1713,3,1469,f
817,47,569,t
1218,4,1224,f
761,46,513,t
793,49,545,f
1810,3,1538,f
792,42,544,f
691,48,443,t
2332,3,1772,f
753,44,505,t
701,42,453,f
779,42,531,t
716,47,468,t
749,42,501,t
757,50,509,t
2866,4,1995,f
2266,3,1744,f
207,20,142,t
2867,3,1995,f
789,41,541,t
803,42,555,f
798,47,550,t
841,42,593,t
2960,4,2035,f
2961,3,2035,f
2283,47,336,t
722,44,474,t
2928,4,2021,f
713,42,465,f
3049,4,1146,f
756,50,508,t
850,42,602,t
717,47,469,t
724,42,476,t
1200,4,1212,f
1201,3,1212,f
3050,3,1146,f
2980,4,2046,f
1224,3,1230,f
1256,3,1263,f
685,50,437,t
721,45,473,t
1250,3,1256,f
824,42,576,t
1235,3,1241,f
2981,3,2046,f
1239,3,1245,f
1243,3,1249,f
683,50,435,t
688,50,440,t
1814,4,1542,f
2858,4,1989,f
2994,4,2050,f
2995,3,2050,f
1781,3,1501,f
2188,4,1699,f
2859,3,1989,f
774,50,526,t
3010,4,2058,f
3011,3,2058,f
706,42,458,f
804,47,556,t
733,46,485,t
2796,4,1965,f
831,47,583,t
719,47,471,t
3060,4,2081,f
3061,3,2081,f
2304,4,1755,f
2711,62,1931,f
2305,3,1755,f
2712,63,1931,t
727,50,479,t
2261,4,1742,f
2262,3,1742,f
828,47,580,t
765,50,517,t
3068,3,1568,f
2797,3,1965,f
758,44,510,t
2242,4,1725,f
1731,4,1479,f
775,48,527,t
823,44,575,t
3077,151,2024,f
2243,3,1725,f
3098,4,2119,f
794,45,546,t
745,46,497,f
697,43,449,t
791,50,543,t
2830,3,1975,f
705,41,457,f
3072,3,2042,f
2351,4,1785,f
851,42,603,t
763,118,515,t
748,42,500,t
2352,3,1785,f
814,47,566,t
796,47,548,t
3099,3,2119,f
1211,3,1218,f
882,44,634,t
1193,97,1206,t
866,48,618,t
979,63,691,f
1745,3,1487,f
1775,3,1498,f
902,62,647,f
935,62,665,f
1830,3,1550,f
2781,3,1426,f
889,59,639,f
2798,4,737,f
865,48,617,t
1231,3,1237,f
1251,3,1257,f
936,63,665,t
1796,3,1509,f
260,3,25,f
2799,3,737,f
875,48,627,t
937,62,666,f
890,59,640,t
945,62,670,f
864,48,616,t
2868,4,1996,f
2294,4,1749,f
105,9,76,t
946,63,670,t
372,4,88,f
274,3,34,f
947,62,671,f
2191,3,1700,f
968,35,687,t
2295,3,1749,f
1248,3,1254,f
970,30,687,f
1244,3,1250,f
1240,3,1246,f
1236,3,1242,t
772,45,524,t
1696,3,1459,f
910,61,651,t
2218,151,730,f
1782,4,1502,f
244,90,24,f
876,48,628,f
943,62,669,f
944,63,669,t
894,60,643,f
1042,54,738,f
871,47,623,t
980,62,691,t
1188,50,1201,t
898,62,645,f
895,61,643,t
893,60,642,f
1715,3,1470,f
1202,4,1213,f
1203,3,1213,f
959,33,685,t
963,34,686,t
930,61,661,t
1182,50,1195,t
2059,3,1645,f
752,48,504,t
264,3,27,f
2832,3,1976,f
1733,3,1480,f
964,35,686,f
965,29,686,f
249,90,27,f
1212,3,1219,f
1219,63,1225,t
266,3,28,f
1783,3,1502,f
899,63,645,t
933,62,664,f
1774,4,1498,f
877,48,629,t
958,63,677,t
957,62,677,f
2869,3,1996,f
248,90,28,f
268,3,30,f
878,50,630,t
1225,3,1231,f
966,30,686,f
896,62,644,f
901,63,646,t
243,90,30,f
949,62,672,f
1735,4,1482,f
950,63,672,t
953,62,675,f
954,63,675,t
982,35,692,f
923,92,17,f
951,62,674,f
952,63,674,t
983,28,692,f
934,63,664,t
869,47,621,t
892,61,642,t
862,48,614,t
984,30,692,f
746,99,498,t
1766,3,1496,f
942,89,668,t
941,90,668,t
955,62,676,f
1736,3,1482,f
956,63,676,t
973,46,532,t
2894,46,456,t
867,50,619,t
885,4,636,f
121,21,103,t
407,4,91,f
940,89,667,t
883,4,635,f
1015,49,376,f
2306,145,738,f
1758,4,1494,f
948,63,671,t
397,18,84,f
2860,4,1991,f
455,3,214,f
2861,3,1991,f
1759,3,1494,f
1829,4,1550,f
262,3,5,f
884,3,635,f
900,62,646,f
2302,4,1754,f
924,92,37,f
2303,3,1754,f
463,23,217,f
396,24,84,f
196,33,139,f
2190,4,1700,f
873,48,625,t
2274,47,488,t
454,4,214,f
2315,4,1730,f
938,63,666,t
245,90,25,f
1078,39,410,t
1132,49,562,t
1139,9,1064,t
1119,63,887,t
1716,4,1471,f
1156,47,1169,t
666,47,418,t
709,47,461,t
1832,3,1551,f
314,3,175,f
475,39,227,t
1148,4,1160,f
1071,39,242,t
2782,4,843,f
1052,53,249,f
2834,3,1977,f
499,40,251,t
1140,46,1060,t
1847,3,1559,f
579,47,331,t
813,47,565,t
2783,3,843,f
1150,47,1163,t
486,39,238,t
826,45,578,t
981,33,692,t
1126,49,557,f
2192,4,1701,f
1802,3,1523,f
861,47,613,t
1160,47,1173,t
1115,46,545,t
1797,4,1511,f
1034,117,389,f
1064,39,252,t
1038,118,279,f
1133,49,559,f
1760,71,232,f
1138,57,1063,t
785,47,537,t
1798,3,1511,f
863,47,615,t
2246,3,1726,f
2193,3,1701,f
316,3,176,f
960,35,685,f
961,28,685,f
962,30,685,f
1152,47,1165,t
1137,57,1061,t
2316,3,1730,f
2800,4,1966,f
2120,19,1666,t
1149,47,1162,t
1088,39,226,t
1109,63,857,t
1780,4,1501,f
1122,63,890,t
153,30,123,f
818,47,570,t
1141,99,1147,t
1009,50,699,t
840,47,592,t
466,66,219,t
2275,47,450,f
872,47,624,t
859,47,611,t
1098,62,814,f
2334,3,1773,f
2345,4,1782,f
2323,4,766,f
2324,3,766,f
1060,115,457,f
1125,49,496,t
40,89,29,f
1155,47,1168,t
1811,3,1539,f
1697,3,1460,f
1144,47,1156,t
986,57,694,t
1124,57,892,t
1838,3,1554,f
1784,4,1503,f
1785,3,1503,f
1111,63,859,f
1112,63,860,t
2285,45,584,t
1117,63,875,t
1113,63,861,t
1079,39,257,t
1817,3,1540,f
537,50,289,t
476,40,228,t
1120,63,888,f
1159,47,1172,t
819,42,571,t
1816,4,1540,f
1096,62,807,f
1840,4,1556,f
300,91,56,f
304,92,55,f
1136,91,940,f
2862,4,1993,f
473,39,225,t
70,91,55,f
2219,4,1714,f
1749,3,1491,f
2220,3,1714,f
2121,23,1666,f
1734,3,1481,f
1093,63,803,t
860,47,612,t
2245,4,1726,f
1001,56,421,f
2863,3,1993,f
2333,4,1773,f
868,47,620,t
1717,3,1471,f
74,91,59,f
72,91,57,f
305,92,57,f
306,92,58,f
1110,63,858,f
1103,48,819,t
1114,57,862,t
2801,3,1966,f
495,40,247,t
1129,46,1041,t
329,4,183,f
2870,4,1997,f
297,92,59,f
702,47,454,t
591,47,343,t
1105,116,244,f
1123,63,891,t
834,47,586,t
2346,3,1782,f
1048,132,245,f
874,47,626,t
1145,47,1157,t
1153,47,1166,t
1134,45,1052,t
1118,63,886,t
1157,47,1170,t
1158,47,1171,t
646,44,398,t
471,39,223,t
852,47,604,t
1166,13,1178,t
1761,71,223,t
695,45,447,t
641,47,393,t
1165,14,1177,f
1183,50,1196,t
1267,3,1291,f
1348,58,640,f
1272,4,1294,f
1739,4,1484,f
2263,4,1743,f
1260,16,1283,t
1281,3,1160,f
1795,3,1508,f
1355,3,1333,f
1284,4,1298,f
1255,3,1262,f
1698,3,1461,f
2913,4,2017,f
985,57,693,t
1252,3,1258,f
2194,4,1702,f
870,46,622,t
1288,4,1300,f
467,67,219,f
1270,4,1293,f
1347,58,639,t
1292,4,1302,f
1794,4,1508,f
2914,3,2017,f
1213,3,1220,f
1259,60,651,f
1354,3,1332,f
210,25,141,f
1028,134,283,f
1799,3,1515,f
1815,3,1542,f
1245,3,1251,f
1353,3,1331,f
1226,3,1232,f
1356,3,1334,f
1352,3,1330,f
1241,3,1247,f
667,47,419,t
1265,3,1288,f
835,47,587,t
2195,3,1702,f
833,47,585,t
1264,3,1287,f
1263,3,1286,f
1299,3,1306,f
1262,3,1285,f
1287,3,1299,f
1842,4,1557,f
1274,4,1295,f
1275,3,1295,f
1273,3,1294,f
1285,3,1298,f
1320,3,1155,f
1283,3,1297,f
1232,3,1238,f
1357,3,91,f
1286,4,1299,f
1023,118,270,f
622,47,374,t
1268,3,1292,f
1282,3,1161,f
1266,3,1290,f
1302,62,1308,f
1170,16,1183,t
1168,16,1180,t
1325,131,226,f
1848,4,1560,f
1269,4,1292,f
582,50,334,t
1311,62,1312,f
1261,3,1284,f
1220,3,1226,f
1333,53,223,f
1271,3,1293,f
853,47,605,t
1161,47,1174,t
1296,4,1304,f
1293,3,1302,f
1308,4,1310,f
1289,3,1300,f
1297,3,1304,f
2264,3,1743,f
1249,3,1255,f
1230,3,1236,f
1338,57,1323,t
1342,57,1327,t
2276,47,416,f
694,47,446,t
1162,47,1175,t
2864,3,1994,f
468,64,220,f
1280,60,661,f
606,47,358,t
1743,3,1486,f
1314,50,1314,t
1350,4,1329,f
1294,4,1303,f
2865,4,1994,f
1295,3,1303,f
1306,4,1309,f
1307,3,1309,f
1189,50,1202,t
809,47,561,t
1337,57,1322,t
150,34,123,t
1318,3,1321,f
1163,47,1176,t
1334,39,541,f
1309,3,1310,f
158,66,126,t
1843,3,1557,f
1312,63,1312,t
1290,4,1301,f
