id,page1_id,page2_id
290,67,122
160,179,55
291,67,133
27,95,71
1355,263,70
237,95,245
2029,886,690
249,176,72
2022,1413,499
1354,263,49
238,95,241
25,93,23
26,93,27
220,93,274
221,93,270
256,214,301
222,93,532
223,93,301
2643,1689,67
224,93,362
2000,645,690
20,87,49
34,87,5
21,87,23
3687,377,23
528,73,570
141,52,143
2073,1443,1207
2074,1443,250
133,168,166
2079,1446,1207
271,185,264
170,194,191
2080,1446,250
2536,1656,69
3686,614,108
14,82,49
250,176,259
17,83,52
3769,1966,259
2015,672,690
2608,1681,257
1949,1397,142
159,178,177
327,66,238
328,66,258
282,139,29
2067,1440,1207
270,185,321
283,139,16
16,83,49
3546,339,65
3547,339,21
132,165,164
131,165,76
284,139,102
285,139,101
5021,127,2604
1965,1404,166
329,66,224
1084,480,60
5022,127,2605
3685,244,660
202,636,635
251,176,302
231,88,30
5023,127,2606
210,162,267
19,85,81
31,102,29
267,197,229
2008,1412,690
161,182,55
152,49,30
130,164,124
129,164,76
137,56,143
125,59,143
5024,127,2607
5025,127,2608
156,172,164
5026,127,2609
204,188,69
2050,1225,690
2046,890,690
259,158,5
164,183,76
5027,127,2610
5028,127,2611
205,188,31
3728,1942,223
3729,1942,250
215,89,243
2609,1681,255
5029,127,2612
3576,434,71
340,20,223
341,20,458
2071,1442,1207
2072,1442,250
11,14,13
169,193,191
1358,1155,166
15,82,52
3600,1314,1179
5030,127,2613
166,187,135
5031,127,2614
1477,534,66
3655,618,108
2053,1419,690
2610,1681,78
1569,411,20
5032,127,2616
3754,1961,241
30,101,16
158,174,71
2068,1440,250
217,89,373
2734,1726,21
3866,1993,457
213,89,45
2719,1719,21
143,53,143
5033,127,2615
168,192,191
5034,127,2614
167,189,188
145,54,143
2718,1719,361
3755,1961,71
3867,1993,74
2077,1445,142
268,197,254
146,55,143
23,91,69
3780,1688,66
155,172,76
3092,1803,742
3093,1803,801
3094,1803,411
3627,504,108
150,58,143
3868,1993,116
148,57,143
199,635,567
28,101,29
330,66,571
331,66,266
332,66,284
3850,429,1405
275,186,322
165,186,57
3879,2000,515
3807,541,695
174,98,143
3688,236,660
429,70,532
185,205,82
235,170,236
229,88,355
230,88,401
366,49,261
225,362,21
367,49,393
269,173,304
195,142,58
368,49,522
369,49,111
1861,381,21
413,63,244
2698,1707,71
2697,1707,357
188,210,59
409,62,584
236,170,239
2739,1728,541
2001,647,690
1488,549,70
181,203,71
206,13,108
182,203,174
3577,337,77
194,215,167
2684,1700,67
2683,1700,270
186,205,52
192,213,70
276,216,223
196,216,20
3601,546,103
