id,title,file,created_at,uploaded_by_user_id,urls
1,"CV Hans Wurst",documents/Richtlinie_befr_Mittelbau_nach_Novelle_WissZeitVG_08_02_2016_ohne_Markierungen.pdf,"2016-04-19 11:15:31.208719+02",9,
2,"Newsletter 9",documents/BWG_Newsletter_9_DE.pdf,"2016-04-19 16:41:31.624765+02",6,
3,"Newsletter 1",documents/BWG_Newsletter_1_web.pdf,"2016-04-19 16:41:55.790046+02",6,
4,"Newsletter 2",documents/BWG_Newsletter_2.pdf,"2016-04-19 16:42:14.076915+02",6,
5,"Newsletter 3",documents/BWG_Newsletter_3_DE_0.pdf,"2016-04-19 16:42:30.977823+02",6,
6,"Newsletter 4",documents/BWG_Newsletter_4.pdf,"2016-04-19 16:42:48.369253+02",6,
7,"Newsletter 5",documents/BWG_Newsletter_5.de_.pdf,"2016-04-19 16:43:05.938986+02",6,
8,"Newsletter 6",documents/BWG_Newsletter_6.pdf,"2016-04-19 16:43:27.34926+02",6,
9,"Newsletter 7",documents/BWG_Newsletter7.pdf,"2016-04-19 16:44:17.969087+02",6,
10,"Newsletter 8",documents/Newsletter_8.pdf,"2016-04-19 16:44:42.874509+02",6,
11,"Newsletter 9",documents/BWG_Newsletter_9_DE_sfnoYJe.pdf,"2016-04-19 18:26:40.308523+02",6,
12,"Newsletter 10",documents/BWG_Newsletter_10.pdf,"2016-04-19 18:27:48.875993+02",6,
13,"Programmheft 2. Jahrestagung",documents/bwg-programmheft-jt_2015-11-09_web.pdf,"2016-04-19 18:33:05.334987+02",5,
14,"Newsletter 1",documents/BWG_Newsletter_1_EN.pdf,"2016-04-20 11:06:51.018266+02",6,
15,"Newsletter 2",documents/BWG_Newsletter_2_EN.pdf,"2016-04-20 11:08:12.419513+02",6,
16,"El buletín del Cluster# 3",documents/BWG_boletin_3_.pdf,"2016-04-20 11:09:43.863849+02",6,
17,"Newsletter 3",documents/BWG_Newsletter_3_en_komprimiert.pdf,"2016-04-20 11:10:14.301092+02",6,
18,"Newsletter 4",documents/BWG_Newsletter_4_en.pdf,"2016-04-20 11:11:11.957917+02",6,
19,"El buletín del Cluster# 4",documents/Newsletter_4_ES.pdf,"2016-04-20 11:11:33.406326+02",6,
20,"Newsletter 5",documents/BWG_Newsletter_5_en.pdf,"2016-04-20 11:12:39.843684+02",6,
21,"El buletín del Cluster# 5",documents/BWG_Newsletter_5_ES.pdf,"2016-04-20 11:13:14.396802+02",6,
22,"Newsletter 6",documents/Newsletter_6_EN.pdf,"2016-04-20 11:55:59.535509+02",6,
23,"El buletín del Cluster# 6",documents/Newsletter_6_ES_.pdf,"2016-04-20 11:56:18.708129+02",6,
24,"Newsletter 7",documents/Newsletter_7_EN___.pdf,"2016-04-20 11:57:06.310792+02",6,
25,"El buletín del Cluster# 7",documents/Newsletter_7_ES.pdf,"2016-04-20 11:57:23.245502+02",6,
26,"Newsletter 8",documents/BWG_Newsletter_8_EN.pdf,"2016-04-20 11:58:10.256441+02",6,
27,"El buletín del Cluster# 8",documents/BWG_Newsletter8_es.pdf,"2016-04-20 11:58:32.333489+02",6,
28,"Newsletter 9",documents/BWG_Newsletter_9_English.pdf,"2016-04-20 11:59:14.680656+02",6,
29,"El buletín del Cluster# 9",documents/BWG_Newsletter_9_spanisch.pdf,"2016-04-20 11:59:35.356032+02",6,
30,"Newsletter 10",documents/NL_10_BWG_EN.pdf,"2016-04-20 12:00:22.443273+02",6,
31,"El buletín del Cluster# 10",documents/Boletin_3_2016_es__.pdf,"2016-04-20 12:00:49.382905+02",6,
32,"Die Anthopozän-Küche",documents/Pressemitteilung_Wissenschaftscomic_2016.pdf,"2016-04-20 13:04:35.397956+02",6,
33,"»Die Anthropozän-Küche«",documents/Pressemitteilung_Wissenschaftscomic_2016_Q3S4dqr.pdf,"2016-04-20 13:10:06.730367+02",6,
34,"Jahrestagung des Interdisziplinären Labors 2015",documents/Pressemitteilung_Jahrestagung_2015.pdf,"2016-04-20 13:28:24.421049+02",6,
35,"Start der Bewerbungsphase des Masterstudiengangs »Open Design«",documents/Pressemitteilung_OEPN_Design.pdf,"2016-04-20 13:30:18.904008+02",6,
36,"Von Armfüßern, Bauchhärlingen und Hufeisenwürmern – Die International Society for Invertebrate Morphology tagt an der Humboldt-Universität",documents/PM_ICIM3_2014.pdf,"2016-04-20 13:32:20.294981+02",6,
37,"Eröffnung der Ausstellung »Speaking Images – Speaking of Images«",documents/Pressemitteilung_Speaking_Images_.pdf,"2016-04-20 13:34:02.752976+02",6,
38,"Eröffnung der Ausstellung »Von Innen nach Außen«",documents/Pressemitteilung_Von_Innen_nach_Aussen_0.pdf,"2016-04-20 13:36:38.952394+02",6,
39,"KOSMOS Summer University »Modern Walking. Innovative Urban Mobility«",documents/PM_KOSMOS_Summer_University_ModernWalking_2013.pdf,"2016-04-20 13:37:58.952436+02",6,
40,"Offizielle Eröffnung des Interdisziplinären Labors",documents/Pressemitteilung_Eroeffnung_Exzellenzcluster.pdf,"2016-04-20 13:40:09.001034+02",6,
41,"Einladung Jahrestagung (PDF)",documents/bwg-einladung-jahrestagung_2014-09-04_2.pdf,"2016-04-25 20:47:55.992304+02",5,
42,"Programm Jahrestagung 2014",documents/BWG_Jahrestagung_2014_Programm.pdf,"2016-04-25 20:50:00.733275+02",5,
43,"Promotionsprogramm Bild Wissen Gestaltung",documents/Promotionsprogramm_Bild_Wissen_Gestaltung.pdf,"2016-04-26 15:10:59.942296+02",5,
44,"Structured Doctoral Program Image Knowledge Gestaltung",documents/StructuredDoctoralProgram_ImageKnowledgeGestaltung.pdf,"2016-04-26 15:56:30.923733+02",5,
45,"Structured Doctoral Program Image Knowledge Gestaltung",documents/StructuredDoctoralProgram_ImageKnowledgeGestaltung_4FNJjpL.pdf,"2016-04-26 15:58:00.534591+02",5,
46,"Sammelband Themenklasse 2014",documents/bwg_DSptips_2014_-_Publikation_komplett_Doppelseiten_144dpi_0.pdf,"2016-04-26 16:40:35.401635+02",5,
47,"Plakat Themenklasse 2014",documents/bwg_Plakat_DStips_Fin.pdf,"2016-04-26 16:42:46.038361+02",5,
48,"Jahresdokumentation 2014",documents/BWG_Jahresdoku_2014_final___.pdf,"2016-04-30 21:19:41.466841+02",5,
49,"Jahresdokumentation 2014",documents/BWG_Jahresdoku_2014_final____btB14pb.pdf,"2016-04-30 21:20:22.1436+02",5,
50,"Ausschreibung Themenklasse 2016",documents/2016_AusschreibungThemenklasseBWG.pdf,"2016-05-02 08:48:31.272975+02",5,
51,"Tagungsprogramm Form und Ordnung",documents/Tagung_Form-und-Ordnung.pdf,"2016-05-04 12:34:55.938127+02",5,
52,"Presseclipping 2012-2014",documents/BWG_Presseclipping_2012_2014.pdf,"2016-05-09 08:33:06.988836+02",5,
53,"Programm Workshop The Moving Interior",documents/unnamed.jpg,"2016-05-09 11:22:12.893324+02",5,
54,"Programmheft Moving Interior",documents/bwg_moving-interior-folder_2015-01-15_screen.pdf,"2016-05-09 11:27:22.723947+02",5,
55,"Programm Transformationen des Buchdrucks",documents/Programm_Transformationen_des_Buchdrucks.pdf,"2016-05-09 14:55:41.054083+02",5,
56,"Einladung \&quot;Innen Außen\&quot;",documents/Einladung_von_innen_nach_außen.pdf,"2016-05-10 09:11:45.962431+02",5,
57,"Einladungskarte Eröffnung",documents/Einladung_Eröffnung_BWG.pdf,"2016-05-11 12:05:43.211455+02",5,
58,"Spreeforum Einladung",documents/Spreeforum_20131106.pdf,"2016-05-11 14:57:37.392005+02",5,
59,Formwerdungprogamm,documents/Form.pdf,"2016-05-11 15:10:01.125308+02",5,
60,"Vorlesungsverzeichnis SoSe 2016",documents/VVZ_SoSe_2016.pdf,"2016-05-29 14:16:45.936709+02",11,
61,"Flyer Digitales Wissen",documents/Einladung_Wissen_digitales_Zeitalter-1.pdf,"2016-06-07 11:00:02.286742+02",5,
62,"Was zählt - Abstracts",documents/WasZaehltAbstracts.pdf,"2016-06-21 13:45:02.177977+02",5,
63,"Programm Was zählt",documents/WasZaehltProgramm.pdf,"2016-06-21 13:48:48.185709+02",5,
64,"Stil-Linien Programm",documents/StilLinienProgrammFlyer.pdf,"2016-06-24 12:45:20.283035+02",5,
65,"Imagination, Repräsentation und das Neue - flyer",documents/imagination_repraesentation.pdf,"2016-06-24 14:55:14.040402+02",5,
66,"Dokumentation HUMANIMAL",documents/Dokumentation_HUMANIMAL_web.pdf,"2016-06-27 11:09:45.336033+02",5,
145,Buchungsformular,documents/Buchungsformular_TAT.pdf,"2016-07-15 18:34:18.796471+02",27,
