id,file,width,height,focal_point_key,filter_id,image_id,urls
235,images/Bildakt_RGB.width-960.jpg,960,576,,10,19,
241,images/1024_0.width-480.jpg,220,124,,4,59,
242,images/1024_0.original.jpg,220,124,,5,59,
247,images/Anthropozaen-Kueche_web_gross.width-960.jpg,643,323,,10,39,
248,images/Anthropozaen-Kueche_web_gross.original.jpg,643,323,,5,39,
252,images/Piktogramme-Karte_RGB.width-960.jpg,960,480,,10,55,
255,images/Shaping-Knowledge_RGB.max-165x165.jpg,165,92,,1,61,
260,images/Strukturwissenschaft3D-Code_RGB.2e16d0ba.fill-450x360.jpg,450,360,2e16d0ba,3,16,
264,images/a_exbeob.max-800x600.jpg,800,580,,6,42,
267,images/Epistemische_Rueckseite_web_gross.2e16d0ba.fill-450x360.jpg,405,323,2e16d0ba,3,13,
269,images/Piktogramme-Karte_RGB.a6da2504.fill-450x360.jpg,450,360,a6da2504,3,55,
270,images/Sammlungserschliessung_RGB.20d6444b.fill-450x360.jpg,450,360,20d6444b,3,56,
271,images/Shaping-Knowledge_RGB.2e16d0ba.fill-450x360.jpg,450,360,2e16d0ba,3,61,
272,images/design-as-research.2e16d0ba.fill-210x110.jpg,210,110,2e16d0ba,11,58,
28,images/Save_the_Date_2016-03-07.max-165x165.jpg,165,83,,1,6,
29,images/Save_the_Date_2016-03-07.width-480.jpg,480,242,,4,6,
38,images/carepad_q8MZJQz.max-165x165.png,165,110,,1,9,
40,images/carepad_q8MZJQz.original.png,764,513,,5,9,
41,images/carepad_q8MZJQz.max-800x600.png,764,513,,6,9,
43,images/Image_Guidance_web_gross.max-165x165.jpg,165,82,,1,15,
44,images/gamelab.max-165x165.jpg,165,90,,1,14,
45,images/Epistemische_Rueckseite_web_gross.max-165x165.jpg,165,82,,1,13,
47,images/carepad_q8MZJQz.width-480.png,480,322,,4,9,
48,images/Image_Guidance_web_gross.original.jpg,643,323,,5,15,
49,images/Image_Guidance_web_gross.max-800x600.jpg,643,323,,6,15,
50,images/Image_Guidance_web_gross.width-480.jpg,480,241,,4,15,
51,images/Epistemische_Rueckseite_web_gross.original.jpg,643,323,,5,13,
52,images/Epistemische_Rueckseite_web_gross.max-800x600.jpg,643,323,,6,13,
59,images/Epistemische_Rueckseite_web_gross.width-480.jpg,480,241,,4,13,
68,images/BWG_Newsletter_4.max-165x165.jpg,117,165,,1,26,
69,images/BWG_Newsletter_3_DE_0-1.max-165x165.jpg,117,165,,1,25,
70,images/BWG_Newsletter_2.max-165x165.jpg,117,165,,1,24,
71,images/BWG_Newsletter_1_web-1.max-165x165.jpg,117,165,,1,23,
72,images/BWG_Newsletter_9_DE-1.max-165x165.jpg,118,165,,1,22,
75,images/Newsletter_8-1.max-165x165.jpg,118,165,,1,30,
