comment-faire-la-technique-comme-pouvoir|Ribault, Patricia (2015): Comment faire? La technique comme pouvoir. In: Golsenne, T./Ribault, P. (Eds.): Essais de Bricologie. Ethnologie de l’art et du design contemporains. Revue Techniques et Culture, no. 64, Paris: Éditions EHESS.
uber-sprach-feindschaft|Trabant, Jürgen (2014):Über Sprach-Feindschaft.In: Ueding, Gerd/Kalivoda, Gregor (Hg.): Wege moderner Rhetorikforschung. Klassische Fundamente und interdisziplinäre Entwicklung. Berlin: De Gruyter, S. 441–453.
datenbilder-zur-digitalen-bildpraxis-den-naturwissenschaften|Adelmann, Ralf/Frercks, Jan/Heßler, Martina/Hennig, Jochen (2009):Datenbilder. Zur digitalen Bildpraxis in den Naturwissenschaften.Bielefeld: transcript.
readers-preference-and-behavior-wikipedia|Lehmann, J./Müller-Birn, Claudia et al. (2014): Readers Preference and Behavior on Wikipedia. In: Proceedings of the 25th ACM Conference on Hypertext and Hypermedia, Santiago, 2014, pp. 88–97.
freuds-core-our-being-between-cytology-and-psychoanalysis|Bock von Wülfigen, Bettina (2013):Freud’s »Core of Our Being« Between Cytology and Psychoanalysis.In: Berichte zur Wissenschaftsgeschichte, Jg. 36, Nr. 3, S. 226–244.
theorie-des-museums-eine-einfuhrung|te Heesen, Anke (2012): Theorie des Museums. Eine Einführung. Hamburg: Junius.
reconstructing-interaction-potentials-thin-films-real-space-images|Gienger, J./Severin, N./Rabe, Jürgen P. /Sokolov, I.M. (2016):Reconstructing interaction potentials in thin films from real-space images. In: Physical Review E 93, 2016, 043306. doi: 10.1103/PhysRevE.93.043306.
one-million-acres-no-zoning|Lerup, Lars (2011):One Million Acres & No Zoning.London: Architectural Ass.
modelle-der-philosophie-zwischen-platon-und-deleuze|Tomši_, Samo (2014): Modelle in der Philosophie: zwischen Platon und Deleuze.In: Balke, Friedrich/Siegert, Bernhard/Vogl, Joseph (Hg.): Modelle und Modellierung. Paderborn: Wilhelm Fink Verlag, S. 129–138. 
vorbilder|Macho, Thomas (2011): Vorbilder. München/Paderborn: Wilhelm Fink Verlag.
c-sauer-made-neue-materialien-fur-architektur-und-design-gestalten-verlag-berlin-2010|C. Sauer: Made Of.. Neue Materialien für Architektur und Design. Gestalten Verlag, Berlin (2010).
schone-gene|Bock von Würfligen (2010):»Schöne Gene!«In: Walther, Sigrid/Staupe, Gisela/Macho, Thomas (Hg.): Was ist schön? Deutsches Hygiene Museum, Dresden: Wallstein Verlag, S. 150–156.  
